"Computer","OSProduct","InstalledKBs"
"wc-hlps-gv-as1.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5013839,5021296,5027282,3046017,4345681,3159398,5029304,5004958,5022346,3045999,5025288,5010395,3059317,5015877,2967917,3077715,5020010,3042085,4577071,5017365,925673,4601349,4586823,4514599,5028223,4565540,4507413,5030287,5026409,5027533,5012326,4598275,5030175,3071756,5018476,3156059,4556405,3005628,5011560,3000850,4054522,5006729,3044374,4340006,4099639,2919355,3178539,4498963,5008285,4576489,5003681,5021081,5031407,3084135,5007255,3061512,3110329,5014001,3023266,4592495,3019978,4580469,3045685,5023764,4602960,5016683,5029568,3126434,5005106,3000483,4566468,5009595,4019111,3086255,5022894,3133043,5020680,3139914,4103715,5029368,5014746,3126587,4534978,4580358,5005627,5004285"
"wp-sw-npm4.lottomatica.net","Windows Server 2016 Datacenter","925673"
"wp-hlps-l-as1.lottomatica.net","Windows Server 2012 R2","4099639,2967917,3044374,4576489,3019978,2919355,4103715,3126587,3061512,3133043,4577071,3084135,4586823,4507413,3178539,3110329,925673,4534978,4580358,4055271,3156059,4565540,4019111,3042085,3077715,3161949,4487123,3126434,4566468,3045999,4088879,3023266,3000483,3046017,3175024,4580469,3071756,4340006,3059317,4556405,4592495,3086255,3139914,3000850,5004285,3005628,3146723,4345681,4602960,4054522,3159398,4498963,4514599,4601349,3045685,4598275"
"wp-hlpapp-as2.lottomatica.net","Windows Server 2012 R2","4099639,2967917,3044374,3019978,2919355,4103715,3126587,3061512,3133043,3084135,4471983,3178539,3110329,925673,4055271,3156059,4019111,3042085,3077715,3161949,4487123,3126434,3045999,4088879,3023266,4074597,3000483,3046017,3175024,3071756,4340006,3059317,3086255,3139914,3000850,3082089,3005628,3146723,4345681,4054522,3159398,3045685"
"sql-testappl.lottomatica.net","Windows Server 2008 Standard Edition (full installation)","5016891,3127219,4056564,2937608,2991963,2931354,2813430,979309,3004361,4339503,967723,2564958,3032662,4025398,4091756,4471984,2972106,3218362,3097994,2972215,3059317,2974268,974571,3149090,4034786,973565,3060716,3110329,3022777,3011780,3140709,3108664,3071756,2585542,4093227,2894847,925673,3057154,975560,2900986,973507,4039038,4130956,3010788,4018556,3159398,2972098,3072303,4034775,2943344,2911502,2598479,4493730,3037573,978338,4498964,3108371,4530719,971657,3139398,2621440,3101722,2974269,954155,982799,2862973,2698365,4341832,4018106,4046184,2868116,4463104,2705219,3205638,3003743,959209,4480957,2506212,960859,4512491,2654428,2507938,4042123,3109094,4089175,4022884,3086255,4034745,4534979,3005607,4039384,2423089,982536,4042050,3000483,3097988,4516051,2653956,2748349,4507461,3075220,2631813,4022748,4291391,971029,4018821,4130944,2862335,3191203,970430,2893294,4340939,2729453,2968292,4025409,2864063,2481109,4493458,4018927,3161949,4575904,4520009,4055272,3055642,4026059,2742601,4338380,3023213,4022010,4101477,4019109,4474419,4487019,2387149,4034744,4035679,2643719,2798162,2305420,4503287,4047211,4026061,4534312,4012584,2345886,2604094,3141083,4507414,3208481,3193418,3167679,3217841,4025397,2419640,2884256,4340007,2864202,2718704,3037578,4525239,3135982,2483185,3023221,4487124,4032201,4022008,2894842,3021674,4467700,2690533,2973201,3170455,4457984,4056942,3126587,2685939,3139914,4052303,4230467,3074541,3035126,3109103,4489876,3126041,982525,3196718,2807986,4471319,2862330,4041093,974318,2836945,4099640,4014988,2868038,4345682,3109560,3098778,4089229,973917,4090450,3045685,2978125,4015067,2770660,4022914,2861855,2706045,4014794,4014652,3074547,3078601,2862152,2998579,3068457,3133043,2506014,4022750,4012583,2820917,2347290,3183431,3099866,3217587,3185911,3046017,4499180"
"2k8tgest01.lottomatica.net","Windows Server 2008 R2 Standard Edition","4489885,3074543,3024777,4338823,2786081,3139914,2621440,3086255,2937610,4022722,4343899,2861698,2667402,3030377,2758857,4034679,3035126,2560656,3159398,2643719,3059317,2716513,3023215,2968294,2729452,4038779,4474419,2991963,3031432,4345679,4014985,4041090,3045685,4499175,2840631,2862330,4099637,2911501,4480960,4507456,2604115,3037574,3097989,2770660,2977292,2789645,3060716,2705219,3071756,2552343,3161949,3020387,4019108,4340004,3108664,4015546,2656356,4462915,2654428,2984972,2931356,4471328,2871997,4048960,2564958,4507411,2884256,2836942,3101722,3042058,2690533,3138612,3139398,3127220,4503269,2506014,3110329,2992611,3004375,4054521,2868038,3020388,2698365,2894844,2972211,2864202,4025337,3046269,2912390,4012212,4493448,3010788,2585542,2813430,4498961,3046017,4471981,3000483,2736422,2836943,2973201,3109560,2943357,2972100,4457145,2807986,3108371,3133043,2653956,4467106,925673,4103712,2893294,4486564,3072305,2984976,3156016,4093108,3126587,4284867,2742599,3075226,3092601,4487121,4041678"
"wp-gestweb-as3.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
"wp-cerved-as1.lottomatica.net","Windows Server 2019 Datacenter","925673,5050182,5012170,5005112"
"wp-lottodc1.lottomatica.net","Windows Server 2022 Datacenter","4052623,925673,5050187,5012170"
"wp-opus-as01.lottomatica.net","Windows Server 2019 Datacenter","925673,5050182,5005112"
"wp-hlps-l-db1.lottomatica.net","Windows Server 2012 R2","2967917,3044374,4576489,3019978,2919355,4103715,3126587,3061512,3133043,3084135,3178539,3110329,925673,3156059,3042085,3077715,3161949,3126434,3045999,4088879,3023266,3000483,3046017,3175024,3071756,3059317,3086255,3139914,3000850,3146723,4602960,4054522,3159398,4601349,3045685"
"wp-sw-ntm1.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
"2k12p-simpledo.lottomatica.net","Windows Server 2012","2889784,4019110,2840633,3086255,3082089,2871389,4012214,3030377,2868038,3081320,3159398,2975331,2736693,3059317,4015548,3139914,3175024,2973501,4022718,2811660,3031432,3000483,3045685,2863725,2898870,2966825,4014986,2883201,2795944,2770660,2802618,3097991,3046017,3161949,2972212,2769166,2995387,2968295,3102939,2836988,2862966,2861704,3123479,2871997,2845533,2984005,2855336,2884256,2962407,2785094,2876415,2955163,2966827,3074544,3155784,3110329,2992611,3004375,3133043,2862768,3000853,3019978,3072306,3127221,2772501,2894851,2864202,2928678,2912390,2742616,3010788,2967916,2813430,2779768,2911101,2934016,2822241,2903938,3037575,4019214,2977292,2807986,2973201,2982998,2973113,925673,3146723,3139398,2893294,3023217,2756872,3156016,3083992,3126587,2849568,2769165,3013767,2862335,3071756,2770917"
"wp-gestweb-as1.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
"wp-tron-1.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wc-crmb2b-as1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wt-crmb2b-as1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-dfs-r02.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wp-eva-db1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,925673,5065222"
"wp-sed-db01.lottomatica.net","Windows Server 2019 Datacenter","925673"
"wt-ehp8-acs.lottomatica.net","Windows Server 2019 Datacenter","2267602,925673,4052623,5012170,5005112"
"wp-wac-as1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5021051,5065428,5050182,5005112,925673,5065222"
"wc-dfs-r01.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-dfs-r01.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wp-l8subca01.lottomatica.net","Windows Server 2019 Datacenter","4052623,925673,5050182,5005112"
"wp-ourtde-dc03.ourtde.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourtde-dc04.ourtde.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourtde-dc01.ourtde.com","Windows Server 2019 Datacenter","5065428,925673,5050182,5005112"
"wp-ourtde-dc02.ourtde.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourtde-issue.ourtde.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourbpe-dc01.ourbpe.com","Windows Server 2019 Datacenter","5065428,925673,5050182,5005112"
"wp-ourbpe-dc04.ourbpe.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourbpe-dc02.ourbpe.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourbpe-issue.ourbpe.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourbpe-dc03.ourbpe.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-conourbperm1.ourbpe.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-conourbpemi1.ourbpe.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-conourtderm1.ourtde.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-conourtdemi1.ourtde.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourtde-wec.ourtde.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wp-ourbpe-wec.ourbpe.com","Windows Server 2019 Datacenter","4052623,925673,5050182,5065428,5005112"
"wc-tem-gv-db1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673,5065222"
"wt-doc-fe1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wt-doc-as1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wt-prot-fe1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"2k8p-dbgateway","Windows Server 2008 Standard Edition (full installation)","2998579,973507,3005607,2864063,978338,2820917,2862973,2621440,2718704,975560,2972098,3003743,3023213,3035126,2706045,2894847,2643719,3059317,2481109,3037573,967723,2900986,2911502,2991963,2974268,954155,2506212,973917,2598479,2347290,2483185,2862330,2968292,2305420,2423089,2345886,982799,2705219,2387149,3004361,2507938,2685939,3011780,979309,974571,2654428,2937608,2798162,974318,2564958,2884256,3021674,2690533,2506014,970430,2868038,973565,3022777,2698365,3045685,2864202,2631813,982536,2748349,971029,2862335,2813430,2419640,2931354,2974269,2742601,3055642,3010788,2604094,2868116,959209,982525,2807986,2973201,960859,2653956,925673,2893294,2770660,2943344,2585542,971657,2729453,2836945,2861855,2862152"
"2k3-lh-rendapp","Windows Server 2003 Standard Edition",""
"helpsi-app1","Windows Server 2003 R2 Enterprise x64 Edition","925673"
"helpsi-app2","Windows Server 2003 R2 Enterprise x64 Edition","925673"
"2k3p-helpsidb1","Windows Server 2003 R2 Enterprise x64 Edition","925673"
"2k3p-helpsidb2","Windows Server 2003 R2 Enterprise x64 Edition","925673"
"wc-hubevt-db01.lottomatica.net","Windows Server 2022 Datacenter","5065432,4052623,2267602,5065220,5012170,925673,5050187"
"wp-hubevt-db01.lottomatica.net","Windows Server 2022 Datacenter","5012170,925673"
"wp-adt01.ourbpe.com","Windows Server 2022 Datacenter","925673,5065432,4052623,5012170,5065222,5050187"
"wc-sed-db01.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673,5065222"
"wp-vem-db01.lottomatica.net","Windows Server 2022 Datacenter","4052623,925673,5050187,5012170"
"wc-hlps-l-as1.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5013839,5021296,5027282,3046017,4345681,3159398,5029304,5004958,5022346,3045999,5025288,5010395,3059317,2967917,3175024,5020010,3042085,5017365,925673,4601349,5006729,4514599,5028223,4507413,5026409,5027533,5012326,5000853,5030175,3071756,5018476,3156059,5016683,3077715,3005628,5011560,3000850,4054522,3126434,3044374,4340006,4099639,2919355,3178539,4498963,5008285,5015877,4556405,5021081,5031407,3084135,5007255,3061512,3110329,5014001,3023266,5003681,3019978,4580469,3045685,5023764,4602960,5001393,5029568,5005106,3000483,4566468,5009595,4471983,4019111,3086255,5003220,5022894,3133043,5020680,3139914,3146723,4103715,5029368,5014746,3126587,4534978,5030287,5005627,5004285"
"wt-hlps-l-db1.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5013839,5021296,3046017,4345681,3159398,5004958,5022346,3045999,5010395,3059317,5015877,2967917,3077715,5020010,3042085,5017365,925673,4601349,5006729,4514599,4507413,5027533,5012326,5000853,5030175,3071756,5018476,3156059,5016683,3005628,5011560,3000850,4054522,3126434,3044374,4340006,4099639,2919355,3178539,4498963,5008285,4576489,4556405,5021081,3084135,5007255,3061512,3110329,5014001,3023266,5003681,3019978,4580469,3045685,4602960,5001393,5029568,5005106,3000483,4566468,5009595,4019111,3086255,5003220,3133043,5020680,3139914,4103715,5029368,5014746,3126587,4534978,5005627,5004285"
"wc-hlps-l-as2.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5013839,5021296,5027282,3046017,4345681,3159398,5029304,5004958,5022346,3045999,5025288,5010395,3059317,5015877,2967917,3077715,5020010,3042085,5017365,925673,4601349,5006729,4514599,5028223,4507413,5026409,5027533,5012326,5000853,5030175,3071756,5018476,3156059,5016683,3005628,5011560,3000850,4054522,3126434,3044374,4340006,4099639,2919355,3178539,4498963,5008285,4576489,4556405,5021081,5031407,3084135,5007255,3061512,3110329,5014001,3023266,5003681,3019978,4580469,3045685,5023764,4602960,5001393,5029568,5005106,3000483,4566468,5009595,4019111,3086255,5003220,5022894,3133043,5020680,3139914,4103715,5029368,5014746,3126587,4534978,5030287,5005627,5004285"
